nr;code;sampling_period;sampling_year;seed_mixture;number_seed_mix;year_mix_group;seed_density;replication;id;DensityBlock;GrownBlock;spec_nr
242;24_A1y24;LateSummer24;2024;L.nr;1;6;1;2;24;D08;9;9
243;38_A1y24;LateSummer24;2024;L.nr;1;6;1;3;38;D14;13;12
244;57_A1y24;LateSummer24;2024;L.nr;1;6;1;4;57;D17;18;5
245;03_A2y24;LateSummer24;2024;L.nr;1;6;2;1;3;D01;2;7
246;21_A2y24;LateSummer24;2024;L.nr;1;6;2;2;21;D08;8;5
247;46_A2y24;LateSummer24;2024;L.nr;1;6;2;3;46;D14;15;9
248;53_A2y24;LateSummer24;2024;L.nr;1;6;2;4;53;D17;17;10
249;05_A3y24;LateSummer24;2024;L.nr;1;6;3;1;5;D01;3;7
250;18_A3y24;LateSummer24;2024;L.nr;1;6;3;2;18;D08;7;7
251;42_A3y24;LateSummer24;2024;L.nr;1;6;3;3;42;D14;14;7
252;49_A3y24;LateSummer24;2024;L.nr;1;6;3;4;49;D17;16;8
253;15_B1y24;LateSummer24;2024;I.nr;4;9;1;1;15;D05;6;12
254;17_B1y24;LateSummer24;2024;I.nr;4;9;1;2;17;D07;7;10
255;33_B1y24;LateSummer24;2024;I.nr;4;9;1;3;33;D09;12;17
256;39_B1y24;LateSummer24;2024;I.nr;4;9;1;4;39;D15;13;12
257;12_B2y24;LateSummer24;2024;I.nr;4;9;2;1;12;D05;5;13
258;20_B2y24;LateSummer24;2024;I.nr;4;9;2;2;20;D07;8;12
259;29_B2y24;LateSummer24;2024;I.nr;4;9;2;3;29;D09;11;16
260;47_B2y24;LateSummer24;2024;I.nr;4;9;2;4;47;D15;15;16
261;09_B3y24;LateSummer24;2024;I.nr;4;9;3;1;9;D05;4;9
262;23_B3y24;LateSummer24;2024;I.nr;4;9;3;2;23;D07;9;13
263;25_B3y24;LateSummer24;2024;I.nr;4;9;3;3;25;D09;10;22
264;43_B3y24;LateSummer24;2024;I.nr;4;9;3;4;43;D15;14;18
265;08_C1y24;LateSummer24;2024;M.nr;2;7;1;1;8;D04;4;14
266;35_C1y24;LateSummer24;2024;M.nr;2;7;1;2;35;D11;12;13
267;37_C1y24;LateSummer24;2024;M.nr;2;7;1;3;37;D13;13;17
268;59_C1y24;LateSummer24;2024;M.nr;2;7;1;4;59;D19;18;8
269;14_C2y24;LateSummer24;2024;M.nr;2;7;2;1;14;D04;6;12
270;27_C2y24;LateSummer24;2024;M.nr;2;7;2;2;27;D11;10;15
271;41_C2y24;LateSummer24;2024;M.nr;2;7;2;3;41;D13;14;16
272;55_C2y24;LateSummer24;2024;M.nr;2;7;2;4;55;D19;17;10
273;11_C3y24;LateSummer24;2024;M.nr;2;7;3;1;11;D04;5;13
274;31_C3y24;LateSummer24;2024;M.nr;2;7;3;2;31;D11;11;17
275;45_C3y24;LateSummer24;2024;M.nr;2;7;3;3;45;D13;15;12
276;51_C3y24;LateSummer24;2024;M.nr;2;7;3;4;51;D19;16;9
277;16_D1y24;LateSummer24;2024;M.r;3;8;1;1;16;D06;7;8
278;28_D1y24;LateSummer24;2024;M.r;3;8;1;2;28;D12;10;10
279;48_D1y24;LateSummer24;2024;M.r;3;8;1;3;48;D16;15;11
280;50_D1y24;LateSummer24;2024;M.r;3;8;1;4;50;D18;16;9
281;19_D2y24;LateSummer24;2024;M.r;3;8;2;1;19;D06;8;12
282;36_D2y24;LateSummer24;2024;M.r;3;8;2;2;36;D12;12;10
283;44_D2y24;LateSummer24;2024;M.r;3;8;2;3;44;D16;14;11
284;54_D2y24;LateSummer24;2024;M.r;3;8;2;4;54;D18;17;11
285;22_D3y24;LateSummer24;2024;M.r;3;8;3;1;22;D06;9;14
286;32_D3y24;LateSummer24;2024;M.r;3;8;3;2;32;D12;11;12
287;40_D3y24;LateSummer24;2024;M.r;3;8;3;3;40;D16;13;11
288;58_D3y24;LateSummer24;2024;M.r;3;8;3;4;58;D18;18;11
289;02_E1y24;LateSummer24;2024;H.r;5;10;1;1;2;D02;1;9
290;13_E1y24;LateSummer24;2024;H.r;5;10;1;2;13;D03;6;11
291;26_E1y24;LateSummer24;2024;H.r;5;10;1;3;26;D10;10;13
292;52_E1y24;LateSummer24;2024;H.r;5;10;1;4;52;D20;16;5
293;04_E2y24;LateSummer24;2024;H.r;5;10;2;1;4;D02;2;4
294;07_E2y24;LateSummer24;2024;H.r;5;10;2;2;7;D03;4;9
295;30_E2y24;LateSummer24;2024;H.r;5;10;2;3;30;D10;11;13
296;56_E2y24;LateSummer24;2024;H.r;5;10;2;4;56;D20;17;7
297;06_E3y24;LateSummer24;2024;H.r;5;10;3;1;6;D02;3;4
298;10_E3y24;LateSummer24;2024;H.r;5;10;3;2;10;D03;5;7
299;34_E3y24;LateSummer24;2024;H.r;5;10;3;3;34;D10;12;13
300;60_E3y24;LateSummer24;2024;H.r;5;10;3;4;60;D20;18;11
